Service,VISIBILITÉ,PREMIUM,PRESTIGE,WAOUH !
Prix HT / AN,188 €,300 €,450 €,675 €
Visibilité (Web),Inclus,Inclus,Inclus,Inclus
Réservation directe,Inclus,Inclus,Inclus,Inclus
Label Happy House,Inclus,Inclus,Inclus,Inclus
App Mobile,Standard,PREMIUM,PREMIUM,PREMIUM
Centrale d'achat,Inclus,Inclus,Inclus,Inclus
Comité d'entreprise,Inclus,Inclus,Inclus,Inclus
Parrainage (10%),Inclus,Inclus,Inclus,Inclus
Service HTA (%),8%,5%,2%,0%
Visibilité + (Cosy Places),-,Inclus,Inclus,Inclus
App Mobile PREMIUM,-,Inclus,Inclus,Inclus
Tarif garanti à vie,-,Inclus,Inclus,Inclus
Exclusivité (1.5%),-,Inclus,Inclus,Inclus
Bonus (News),-,Inclus,Inclus,Inclus
Fidélité,-,Inclus,Inclus,Inclus
Promotion Boostée,-,-,Inclus,Inclus
Expertise Personnalisée,-,-,-,Inclus
Accès Partenaires,-,-,-,Inclus
