"","2023/2024","2024/2025","2025/2026"
"Août 1","0,08","0,26","0,20"
"2","0,08","0,26","0,34"
"3","0,08","0,51","0,34"
"4","0,08","0,63","0,34"
"Septembre 5","0,08","0,74","0,34"
"6","0,08","0,74","0,48"
"7","0,08","0,74","0,73"
"8","0,20","0,74","0,93"
"9","0,24","0,74","2,13"
"Octobre 10","0,24","0,74","2,13"
"11","0,24","1,31","2,13"
"12","0,44","1,69","3,04"
"13","1,53","2,78","3,05"
"Novembre 14","1,96","2,86","3,05"
"15","1,96","2,88","3,30"
"16","1,96","2,92","3,62"
"17","2,09","2,92","4,64"
"Décembre 18","2,13","2,92","6,52"
"19","2,13","2,97","7,20"
"20","2,41","3,36","8,03"
"21","3,77","4,13","8,16"
"22","3,97","4,13","9,87"
"Janvier 23","3,97","4,13","10,17"
"24","5,95","4,13","10,51"
"25","6,20","4,43","11,06"
"26","6,62","5,34","11,11"
"Février 27","6,62","5,79",""
"28","7,02","5,90",""
"29","7,52","6,65",""
"30","8,05","6,65",""
"Mars 31","8,70","7,04",""
"32","8,78","8,07",""
"33","8,91","8,22",""
"34","9,58","8,32",""
"35","9,88","10,28",""
"Avril 36","9,89","10,43",""
"37","9,89","10,43",""
"38","9,94","10,72",""
"39","9,94","10,72",""
"Mai 40","9,98","10,72",""
"41","9,98","11,05",""
"42","10,09","11,05",""
"43","10,09","11,63",""
"Juin 44","10,09","11,63",""
"45","10,54","11,72",""
"46","10,54","12,37",""
"47","10,54","12,70",""
"48","11,95","14,08",""
"Juillet 49","12,45","14,33",""
"50","12,51","14,33",""
"51","12,51","14,86",""
"52","12,55","16,41",""
