Nom de la tache,Pole,Responsable,Status,Priorite,Deadline,Superviseur,KPI Cible
H1: Diagnostic Final & PESTEL,Strategie,Wassila,To Do,⚡ Normal,2026-05-18,Lorraine,Structure H1 complete
H2: Problematique SMART & Cibles,Strategie,Julien,To Do,🔥 Urgent,2026-05-19,Lorraine,Phrase SMART unique
H3: Stratégie & Chiffrage ROI,Strategie,Julien,To Do,🔥 Urgent,2026-05-20,Albane,ROI Client 65%
H4: Redaction Note d'Op & MVP,Strategie,Albane,To Do,⚡ Normal,2026-05-21,Lorraine,Note d'Op 20/20
H5: PITCH FINAL JURY,Coordination,Lorraine,To Do,🔥 Urgent,2026-05-22,Toute l'Equipe,Rendu final validé
Finalisation Dashboard LIVE,Tech/Automation,Julien,To Do,⚡ Normal,2026-05-21,Albane,Live Data Connected
Processus Onboarding (Make),CSM,Priscille,To Do,⚡ Normal,2026-05-21,Lorraine,Workflow 100% pret
Scraping & Lead Generation,Sales/Data,"Priscille, Jeanne, Natalia",To Do,🔥 Urgent,2026-05-15,Julien,1500 contacts
Campagne Lemlist (Outbound),Sales/Outbound,Natalia,To Do,🔥 Urgent,2026-05-15,Julien,45% Ouverture
Design Cyber-Prestige & Video,Storytelling,Albane,To Do,🔥 Urgent,2026-05-21,Julien,Effet Whaou garanti
Gestion Social Content (Inbound),Storytelling,Myriam,To Do,⚡ Normal,2026-05-20,Lorraine,3 Posts LinkedIn
Audit Final Grille Notation,Coordination,Wassila,To Do,⚡ Normal,2026-05-22,Lorraine,Zero oubli grille
